,Generator,Time,Value,Zones
0,BradleyEnergyCenterUNIT4,1,0.0,CT
1,BradleyEnergyCenterUNIT4,2,0.0,CT
2,BradleyEnergyCenterUNIT4,3,0.0,CT
3,BradleyEnergyCenterUNIT4,4,0.0,CT
4,BradleyEnergyCenterUNIT4,5,0.0,CT
5,BradleyEnergyCenterUNIT4,6,0.0,CT
6,BradleyEnergyCenterUNIT4,7,0.0,CT
7,BradleyEnergyCenterUNIT4,8,0.0,CT
8,BradleyEnergyCenterUNIT4,9,0.0,CT
9,BradleyEnergyCenterUNIT4,10,0.0,CT
10,BradleyEnergyCenterUNIT4,11,0.0,CT
11,BradleyEnergyCenterUNIT4,12,0.0,CT
12,BradleyEnergyCenterUNIT4,13,0.0,CT
13,BradleyEnergyCenterUNIT4,14,0.0,CT
14,BradleyEnergyCenterUNIT4,15,0.0,CT
15,BradleyEnergyCenterUNIT4,16,0.0,CT
16,BradleyEnergyCenterUNIT4,17,0.0,CT
17,BradleyEnergyCenterUNIT4,18,0.0,CT
18,BradleyEnergyCenterUNIT4,19,0.0,CT
19,BradleyEnergyCenterUNIT4,20,0.0,CT
20,BradleyEnergyCenterUNIT4,21,0.0,CT
21,BradleyEnergyCenterUNIT4,22,0.0,CT
22,BradleyEnergyCenterUNIT4,23,0.0,CT
23,BradleyEnergyCenterUNIT4,24,0.0,CT
24,CPVTowanticEnergyCenterSTG,1,0.0,CT
25,CPVTowanticEnergyCenterSTG,2,0.0,CT
26,CPVTowanticEnergyCenterSTG,3,0.0,CT
27,CPVTowanticEnergyCenterSTG,4,0.0,CT
28,CPVTowanticEnergyCenterSTG,5,0.0,CT
29,CPVTowanticEnergyCenterSTG,6,0.0,CT
30,CPVTowanticEnergyCenterSTG,7,0.0,CT
31,CPVTowanticEnergyCenterSTG,8,0.0,CT
32,CPVTowanticEnergyCenterSTG,9,0.0,CT
33,CPVTowanticEnergyCenterSTG,10,0.0,CT
34,CPVTowanticEnergyCenterSTG,11,0.0,CT
35,CPVTowanticEnergyCenterSTG,12,0.0,CT
36,CPVTowanticEnergyCenterSTG,13,0.0,CT
37,CPVTowanticEnergyCenterSTG,14,0.0,CT
38,CPVTowanticEnergyCenterSTG,15,0.0,CT
39,CPVTowanticEnergyCenterSTG,16,0.0,CT
40,CPVTowanticEnergyCenterSTG,17,0.0,CT
41,CPVTowanticEnergyCenterSTG,18,0.0,CT
42,CPVTowanticEnergyCenterSTG,19,0.0,CT
43,CPVTowanticEnergyCenterSTG,20,0.0,CT
44,CPVTowanticEnergyCenterSTG,21,0.0,CT
45,CPVTowanticEnergyCenterSTG,22,0.0,CT
46,CPVTowanticEnergyCenterSTG,23,0.0,CT
47,CPVTowanticEnergyCenterSTG,24,0.0,CT
