,Generator,Time,Value,Zones,Type,$/MWh
0,BradleyEnergyCenterUNIT4,1,0.0,CT,Gas,16.856417279397572
1,BradleyEnergyCenterUNIT4,2,0.0,CT,Gas,16.856417279397572
2,BradleyEnergyCenterUNIT4,3,0.0,CT,Gas,16.856417279397572
3,BradleyEnergyCenterUNIT4,4,0.0,CT,Gas,16.856417279397572
4,BradleyEnergyCenterUNIT4,5,0.0,CT,Gas,16.856417279397572
5,BradleyEnergyCenterUNIT4,6,0.0,CT,Gas,16.856417279397572
6,BradleyEnergyCenterUNIT4,7,0.0,CT,Gas,16.856417279397572
7,BradleyEnergyCenterUNIT4,8,0.0,CT,Gas,16.856417279397572
8,BradleyEnergyCenterUNIT4,9,0.0,CT,Gas,16.856417279397572
9,BradleyEnergyCenterUNIT4,10,0.0,CT,Gas,16.856417279397572
10,BradleyEnergyCenterUNIT4,11,0.0,CT,Gas,16.856417279397572
11,BradleyEnergyCenterUNIT4,12,0.0,CT,Gas,16.856417279397572
12,BradleyEnergyCenterUNIT4,13,0.0,CT,Gas,16.856417279397572
13,BradleyEnergyCenterUNIT4,14,0.0,CT,Gas,16.856417279397572
14,BradleyEnergyCenterUNIT4,15,0.0,CT,Gas,16.856417279397572
15,BradleyEnergyCenterUNIT4,16,0.0,CT,Gas,16.856417279397572
16,BradleyEnergyCenterUNIT4,17,0.0,CT,Gas,16.856417279397572
17,BradleyEnergyCenterUNIT4,18,0.0,CT,Gas,16.856417279397572
18,BradleyEnergyCenterUNIT4,19,0.0,CT,Gas,16.856417279397572
19,BradleyEnergyCenterUNIT4,20,0.0,CT,Gas,16.856417279397572
20,BradleyEnergyCenterUNIT4,21,0.0,CT,Gas,16.856417279397572
21,BradleyEnergyCenterUNIT4,22,0.0,CT,Gas,16.856417279397572
22,BradleyEnergyCenterUNIT4,23,0.0,CT,Gas,16.856417279397572
23,BradleyEnergyCenterUNIT4,24,0.0,CT,Gas,16.856417279397572
24,CPVTowanticEnergyCenterSTG,1,0.0,CT,Gas,21.277901689717986
25,CPVTowanticEnergyCenterSTG,2,0.0,CT,Gas,21.277901689717986
26,CPVTowanticEnergyCenterSTG,3,0.0,CT,Gas,21.277901689717986
27,CPVTowanticEnergyCenterSTG,4,0.0,CT,Gas,21.277901689717986
28,CPVTowanticEnergyCenterSTG,5,0.0,CT,Gas,21.277901689717986
29,CPVTowanticEnergyCenterSTG,6,0.0,CT,Gas,21.277901689717986
30,CPVTowanticEnergyCenterSTG,7,0.0,CT,Gas,21.277901689717986
31,CPVTowanticEnergyCenterSTG,8,0.0,CT,Gas,21.277901689717986
32,CPVTowanticEnergyCenterSTG,9,0.0,CT,Gas,21.277901689717986
33,CPVTowanticEnergyCenterSTG,10,0.0,CT,Gas,21.277901689717986
34,CPVTowanticEnergyCenterSTG,11,0.0,CT,Gas,21.277901689717986
35,CPVTowanticEnergyCenterSTG,12,0.0,CT,Gas,21.277901689717986
36,CPVTowanticEnergyCenterSTG,13,0.0,CT,Gas,21.277901689717986
37,CPVTowanticEnergyCenterSTG,14,0.0,CT,Gas,21.277901689717986
38,CPVTowanticEnergyCenterSTG,15,0.0,CT,Gas,21.277901689717986
39,CPVTowanticEnergyCenterSTG,16,0.0,CT,Gas,21.277901689717986
40,CPVTowanticEnergyCenterSTG,17,0.0,CT,Gas,21.277901689717986
41,CPVTowanticEnergyCenterSTG,18,0.0,CT,Gas,21.277901689717986
42,CPVTowanticEnergyCenterSTG,19,0.0,CT,Gas,21.277901689717986
43,CPVTowanticEnergyCenterSTG,20,0.0,CT,Gas,21.277901689717986
44,CPVTowanticEnergyCenterSTG,21,0.0,CT,Gas,21.277901689717986
45,CPVTowanticEnergyCenterSTG,22,0.0,CT,Gas,21.277901689717986
46,CPVTowanticEnergyCenterSTG,23,0.0,CT,Gas,21.277901689717986
47,CPVTowanticEnergyCenterSTG,24,0.0,CT,Gas,21.277901689717986
48,BackusMicrogridProjectBMP2,1,0.0,CT,Oil,340.35153824526526
49,BackusMicrogridProjectBMP2,2,0.0,CT,Oil,340.35153824526526
50,BackusMicrogridProjectBMP2,3,0.0,CT,Oil,340.35153824526526
51,BackusMicrogridProjectBMP2,4,0.0,CT,Oil,340.35153824526526
52,BackusMicrogridProjectBMP2,5,0.0,CT,Oil,340.35153824526526
53,BackusMicrogridProjectBMP2,6,0.0,CT,Oil,340.35153824526526
54,BackusMicrogridProjectBMP2,7,0.0,CT,Oil,340.35153824526526
55,BackusMicrogridProjectBMP2,8,0.0,CT,Oil,340.35153824526526
56,BackusMicrogridProjectBMP2,9,0.0,CT,Oil,340.35153824526526
57,BackusMicrogridProjectBMP2,10,0.0,CT,Oil,340.35153824526526
58,BackusMicrogridProjectBMP2,11,0.0,CT,Oil,340.35153824526526
59,BackusMicrogridProjectBMP2,12,0.0,CT,Oil,340.35153824526526
60,BackusMicrogridProjectBMP2,13,0.0,CT,Oil,340.35153824526526
61,BackusMicrogridProjectBMP2,14,0.0,CT,Oil,340.35153824526526
62,BackusMicrogridProjectBMP2,15,0.0,CT,Oil,340.35153824526526
63,BackusMicrogridProjectBMP2,16,0.0,CT,Oil,340.35153824526526
64,BackusMicrogridProjectBMP2,17,0.0,CT,Oil,340.35153824526526
65,BackusMicrogridProjectBMP2,18,0.0,CT,Oil,340.35153824526526
66,BackusMicrogridProjectBMP2,19,0.0,CT,Oil,340.35153824526526
67,BackusMicrogridProjectBMP2,20,0.0,CT,Oil,340.35153824526526
68,BackusMicrogridProjectBMP2,21,0.0,CT,Oil,340.35153824526526
69,BackusMicrogridProjectBMP2,22,0.0,CT,Oil,340.35153824526526
70,BackusMicrogridProjectBMP2,23,0.0,CT,Oil,340.35153824526526
71,BackusMicrogridProjectBMP2,24,0.0,CT,Oil,340.35153824526526
72,UCONNCogenFacilityCGT3,1,0.0,CT,Gas,16.52896287035849
73,UCONNCogenFacilityCGT3,2,0.0,CT,Gas,16.52896287035849
74,UCONNCogenFacilityCGT3,3,0.0,CT,Gas,16.52896287035849
75,UCONNCogenFacilityCGT3,4,0.0,CT,Gas,16.52896287035849
76,UCONNCogenFacilityCGT3,5,0.0,CT,Gas,16.52896287035849
77,UCONNCogenFacilityCGT3,6,0.0,CT,Gas,16.52896287035849
78,UCONNCogenFacilityCGT3,7,0.0,CT,Gas,16.52896287035849
79,UCONNCogenFacilityCGT3,8,0.0,CT,Gas,16.52896287035849
80,UCONNCogenFacilityCGT3,9,0.0,CT,Gas,16.52896287035849
81,UCONNCogenFacilityCGT3,10,0.0,CT,Gas,16.52896287035849
82,UCONNCogenFacilityCGT3,11,0.0,CT,Gas,16.52896287035849
83,UCONNCogenFacilityCGT3,12,0.0,CT,Gas,16.52896287035849
84,UCONNCogenFacilityCGT3,13,0.0,CT,Gas,16.52896287035849
85,UCONNCogenFacilityCGT3,14,0.0,CT,Gas,16.52896287035849
86,UCONNCogenFacilityCGT3,15,0.0,CT,Gas,16.52896287035849
87,UCONNCogenFacilityCGT3,16,0.0,CT,Gas,16.52896287035849
88,UCONNCogenFacilityCGT3,17,0.0,CT,Gas,16.52896287035849
89,UCONNCogenFacilityCGT3,18,0.0,CT,Gas,16.52896287035849
90,UCONNCogenFacilityCGT3,19,0.0,CT,Gas,16.52896287035849
91,UCONNCogenFacilityCGT3,20,0.0,CT,Gas,16.52896287035849
92,UCONNCogenFacilityCGT3,21,0.0,CT,Gas,16.52896287035849
93,UCONNCogenFacilityCGT3,22,0.0,CT,Gas,16.52896287035849
94,UCONNCogenFacilityCGT3,23,0.0,CT,Gas,16.52896287035849
95,UCONNCogenFacilityCGT3,24,0.0,CT,Gas,16.52896287035849
96,GenConnDevonLLC16,1,0.0,CT,Oil,161.80983758840338
97,GenConnDevonLLC16,2,0.0,CT,Oil,161.80983758840338
98,GenConnDevonLLC16,3,0.0,CT,Oil,161.80983758840338
99,GenConnDevonLLC16,4,0.0,CT,Oil,161.80983758840338
100,GenConnDevonLLC16,5,0.0,CT,Oil,161.80983758840338
101,GenConnDevonLLC16,6,0.0,CT,Oil,161.80983758840338
102,GenConnDevonLLC16,7,0.0,CT,Oil,161.80983758840338
103,GenConnDevonLLC16,8,0.0,CT,Oil,161.80983758840338
104,GenConnDevonLLC16,9,0.0,CT,Oil,161.80983758840338
105,GenConnDevonLLC16,10,0.0,CT,Oil,161.80983758840338
106,GenConnDevonLLC16,11,0.0,CT,Oil,161.80983758840338
107,GenConnDevonLLC16,12,0.0,CT,Oil,161.80983758840338
108,GenConnDevonLLC16,13,0.0,CT,Oil,161.80983758840338
109,GenConnDevonLLC16,14,0.0,CT,Oil,161.80983758840338
110,GenConnDevonLLC16,15,0.0,CT,Oil,161.80983758840338
111,GenConnDevonLLC16,16,0.0,CT,Oil,161.80983758840338
112,GenConnDevonLLC16,17,0.0,CT,Oil,161.80983758840338
113,GenConnDevonLLC16,18,0.0,CT,Oil,161.80983758840338
114,GenConnDevonLLC16,19,0.0,CT,Oil,161.80983758840338
115,GenConnDevonLLC16,20,0.0,CT,Oil,161.80983758840338
